排名	历史订单	库存规模	商品数	是否展示订单	模板类型	链接	标题
1	5282	2553	0	是	其他自动发卡站	https://qq.728.hk/	首页 | QQ发卡 - 社交账号自动发卡平台
2	4079	875	0	是	未识别模板	https://qqzhw.com/	QQ账号购买|QQ账号批发|购买QQ账号|QQ账号商|QQ小号购买|QQ账号选购平台|QQ号商|qq号购买
3	5	0	0	是	异次元发卡	https://shopping.qq898.vip/index.php	亿众 源头出QQ，微信 1
4	4	0	0	是	靓号网/选号站	http://1818lianghao.com/	QQ靓号平台_买QQ靓号_购买5位/6位/7位/8位qq号_到1818靓号网
5	0	29556	93	否	卡网列表模板(通用自动发卡)	https://123.taoqqhao.com/	qq小号购买,qq号批发商城,直登qq号,怎么买qq,买qq小号网站,qq号出售平台
6	0	26893	129	否	卡网列表模板(通用自动发卡)	https://hyqq99.com/shop/	海洋QQ游戏商城-唯一TG:@hysc99
7	0	18626	45	否	卡网列表模板(通用自动发卡)	https://db866.lol/shop/	大冰游戏小号
8	0	18162	57	否	卡网列表模板(通用自动发卡)	https://xy0088.top/shop/	自动发卡
9	0	18126	74	否	卡网列表模板(通用自动发卡)	https://wxr699.top/shop/	外星人游戏qq小号自助卡网
10	0	17803	57	否	卡网列表模板(通用自动发卡)	http://hm0880.top/shop/	河马金牌6年号商-24小时自助下单-欢迎游戏搬砖正规商业推广
11	0	17537	51	否	卡网列表模板(通用自动发卡)	http://suqi777.top/shop/	苏七永久发卡网
12	0	17235	29	否	卡网列表模板(通用自动发卡)	https://qqx2.cn/	♦️小二飞机：@FCCUU
13	0	17124	40	否	卡网列表模板(通用自动发卡)	https://pinzun668.top/shop/	红狐QQ永久批发网！
14	0	16598	18	否	卡网列表模板(通用自动发卡)	https://zzqq.lol/shop/	专注QQ—3年信誉号商
15	0	16230	22	否	卡网列表模板(通用自动发卡)	http://xsh168.top/shop/	自动发卡
16	0	5158	21	否	卡网列表模板(通用自动发卡)	https://fendou.lol/shop/	六丫自动发卡
17	0	4316	92	否	卡网列表模板(通用自动发卡)	https://hmjf.lol/shop/	虚心U自动发卡
18	0	4308	91	否	卡网列表模板(通用自动发卡)	http://xuxin66.top/shop/	虚心ZFB自动发卡
19	0	4087	67	否	卡网列表模板(通用自动发卡)	https://hm1100.top/shop/	自动发卡
20	0	3921	75	否	卡网列表模板(通用自动发卡)	https://79yj.com/	QQ批发商城-QQ号码批发|卖QQ小号批发|买QQ号|QQ不冻结号批发|QQ号码自动发货平台
21	0	3921	75	否	卡网列表模板(通用自动发卡)	https://qd93.com/	QQ直登小号批发 - QQ靓号网购买QQ号码商城安全购买出售平台
22	0	3877	67	否	卡网列表模板(通用自动发卡)	https://tianyu9080.top/shop/	批Q号天鱼 发卡网 24h可以自助下单
23	0	3530	29	否	卡网列表模板(通用自动发卡)	https://yujuqq.top/shop/	豫剧QQ商城24小时自助下单
24	0	3272	20	否	卡网列表模板(通用自动发卡)	https://xinhe001.lol/shop/	星河001飞机@xinghe0010
25	0	2707	34	否	卡网列表模板(通用自动发卡)	http://xq0809.top/shop/	自动发卡
26	0	2217	17	否	卡网列表模板(通用自动发卡)	http://naimaoqq.top/shop/	奶猫QQ自动发卡网
27	0	1891	12	否	卡网列表模板(通用自动发卡)	http://daya999.top/shop/	自动发卡
28	0	1845	18	否	卡网列表模板(通用自动发卡)	https://qw123.lol/shop/	自动发卡
29	0	1754	20	否	卡网列表模板(通用自动发卡)	https://qq6666.top/shop/	老鬼QQ
30	0	1419	15	否	卡网列表模板(通用自动发卡)	https://ymqq.lol/shop/	圆梦QQ 飞机@b520y
31	0	1388	11	否	卡网列表模板(通用自动发卡)	https://kln166.lol/shop/	库里南 一手QQ号商
32	0	1388	11	否	卡网列表模板(通用自动发卡)	https://kln166.top/shop/	库里南 一手QQ号商
33	0	1192	11	否	卡网列表模板(通用自动发卡)	https://qq8.one/	熊猫QQ 飞机@aiqq 四字id
34	0	1011	12	否	卡网列表模板(通用自动发卡)	http://qingtianqq1.top/shop/	静观其变自动发卡
35	0	971	9	否	卡网列表模板(通用自动发卡)	https://maomao888.top/shop/	自动发卡
36	0	859	6	否	卡网列表模板(通用自动发卡)	https://qq6666.lol/shop/	自动发卡
37	0	855	17	否	卡网列表模板(通用自动发卡)	https://tszqq.lol/shop/	老黑一手QQ对接 飞机 @cc88918
38	0	775	21	否	卡网列表模板(通用自动发卡)	http://qq1234.cc/index.php	春哥QQ抖音
39	0	765	13	否	卡网列表模板(通用自动发卡)	https://xihongqq.top/shop/	西红柿QQ商城24小时自动下单发卡网
40	0	736	26	否	卡网列表模板(通用自动发卡)	https://qcccc888.top/shop/	大帅qq发卡网
41	0	644	5	否	卡网列表模板(通用自动发卡)	https://hu6621.cn/shop/	自动发卡
42	0	642	14	否	卡网列表模板(通用自动发卡)	http://fffzz.lol/shop/	自动发卡
43	0	642	14	否	卡网列表模板(通用自动发卡)	http://fffzz.top/shop/	自动发卡
44	0	642	14	否	卡网列表模板(通用自动发卡)	https://htqq.lol/shop/	自动发卡
45	0	622	4	否	卡网列表模板(通用自动发卡)	https://xiaobei.lol/shop/	自动发卡
46	0	620	3	否	卡网列表模板(通用自动发卡)	https://youhui1998.top/shop/	自动发卡
47	0	461	8	否	卡网列表模板(通用自动发卡)	https://nengliang.lol/shop/	自动发卡
48	0	339	6	否	卡网列表模板(通用自动发卡)	http://xdd6689.top/shop/	小叮当qq自动发卡客服飞机 @xdd66989
49	0	331	5	否	卡网列表模板(通用自动发卡)	https://dadiqq.com/shop/	大地QQ KOKO独家专属密码 - 大地QQ KOKO独家专属密码
50	0	290	4	否	卡网列表模板(通用自动发卡)	https://siye.lol/shop/	自动发卡
51	0	286	13	否	卡网列表模板(通用自动发卡)	https://qq1.lol/	自动发卡
52	0	284	5	否	卡网列表模板(通用自动发卡)	https://az886.top/shop/	自动发卡
53	0	264	9	否	卡网列表模板(通用自动发卡)	https://ljqqqq.lol/shop/	LJ游戏小号转卖 - 大量拿货联系飞机：@ljqqq
54	0	150	5	否	卡网列表模板(通用自动发卡)	https://qqbizu666.top/shop/	自动发卡
55	0	104	5	否	卡网列表模板(通用自动发卡)	https://qq857.cc/shop/	自动发卡
56	0	102	0	否	未识别模板	http://zhanghaoxiong.com/	账号熊官网｜数字账号商品与使用教程
57	0	92	5	否	卡网列表模板(通用自动发卡)	http://maiqq88.top/shop/	自动发卡
58	0	60	0	否	靓号网/选号站	https://taoqqhao.com/	买qq靓号站,qq号码购买,qq靓号网站,qq号靓号网站,普通qq选号平台
59	0	58	10	否	卡网列表模板(通用自动发卡)	https://yedaoqq.top/shop/	椰岛发号网
60	0	39	2	否	卡网列表模板(通用自动发卡)	https://qx138888.top/shop/	自动发卡
61	0	38	6	否	卡网列表模板(通用自动发卡)	https://tangsqq.top/shop/	自动发卡
62	0	35	9	否	卡网列表模板(通用自动发卡)	https://yewen.lol/shop/	叶问发卡批发
63	0	32	6	否	卡网列表模板(通用自动发卡)	https://jinku.lol/shop/	金库 一手QQ号商
64	0	32	5	否	卡网列表模板(通用自动发卡)	https://piguqq.top/shop/	自动发卡
65	0	32	5	否	卡网列表模板(通用自动发卡)	http://zhanghaofk88.top/shop/	布布发卡
66	0	27	5	否	卡网列表模板(通用自动发卡)	https://maoqq.lol/	猫猫发卡网
67	0	24	46	否	YKFAKA易发卡	https://2020999.cn/	qq小号自助购买平台
