# 卖Q站按订单/库存排序

1. qq.728.hk	已售=5282	库存=2553	其他自动发卡站	首页 | QQ发卡 - 社交账号自动发卡平台
2. qqzhw.com	已售=4079	库存=875	未识别模板	QQ账号购买|QQ账号批发|购买QQ账号|QQ账号商|QQ小号购买|QQ账号选购平台|QQ号商|qq
3. shopping.qq898.vip	已售=5	库存=0	异次元发卡	亿众 源头出QQ，微信 1
4. 1818lianghao.com	已售=4	库存=0	靓号网/选号站	QQ靓号平台_买QQ靓号_购买5位/6位/7位/8位qq号_到1818靓号网
5. 123.taoqqhao.com	已售=0	库存=29556	卡网列表模板(通用自动发卡)	qq小号购买,qq号批发商城,直登qq号,怎么买qq,买qq小号网站,qq号出售平台
6. hyqq99.com	已售=0	库存=26893	卡网列表模板(通用自动发卡)	海洋QQ游戏商城-唯一TG:@hysc99
7. kaka1880.xyz	已售=0	库存=18811	卡网列表模板(通用自动发卡)	Q批发-卡卡自动发卡网 24h可以下单
8. db866.lol	已售=0	库存=18626	卡网列表模板(通用自动发卡)	大冰游戏小号
9. xy0088.top	已售=0	库存=18162	卡网列表模板(通用自动发卡)	自动发卡
10. wxr699.top	已售=0	库存=18126	卡网列表模板(通用自动发卡)	外星人游戏qq小号自助卡网
11. qqhaoma.top	已售=0	库存=18101	卡网列表模板(通用自动发卡)	自动发卡
12. hm0880.top	已售=0	库存=17803	卡网列表模板(通用自动发卡)	河马金牌6年号商-24小时自助下单-欢迎游戏搬砖正规商业推广
13. suqi777.top	已售=0	库存=17537	卡网列表模板(通用自动发卡)	苏七永久发卡网
14. qqx2.cn	已售=0	库存=17235	卡网列表模板(通用自动发卡)	♦️小二飞机：@FCCUU
15. pinzun668.top	已售=0	库存=17124	卡网列表模板(通用自动发卡)	红狐QQ永久批发网！
16. zzqq.lol	已售=0	库存=16598	卡网列表模板(通用自动发卡)	专注QQ—3年信誉号商
17. xsh168.top	已售=0	库存=16230	卡网列表模板(通用自动发卡)	自动发卡
18. fendou.lol	已售=0	库存=5158	卡网列表模板(通用自动发卡)	六丫自动发卡
